sentence,option1,option2,answer
John moved the couch from the garage to the backyard to create space. The _ is small.,garage,backyard,1
The doctor diagnosed Justin with bipolar and Robert with anxiety. _ had terrible nerves recently.,Justin,Robert,2
Dennis drew up a business proposal to present to Logan because _ wants his investment.,Dennis,Logan,1
Felicia unexpectedly made fried eggs for breakfast in the morning for Katrina and now _ owes a favor.,Felicia,Katrina,2
My shampoo did not lather easily on my Afro hair because the _ is too dirty.,shampoo,hair,2
"The circuit failed to power the television but kept the radio going, as the _ had a weak connection.",television,radio,1
Emily was thrown out of the court for the lawsuit against Carrie because _ was the only one acting disruptively.,Emily,Carrie,1
"The shop owner said that Sarah purchased several pieces of furniture unlike Rachel, due to _ being poor.",Sarah,Rachel,2
Neil told Craig that he has to take care of the child for the day because _ promised to do so.,Neil,Craig,2
Neil told Craig that he has to take care of the child for the day because _ did it last time.,Neil,Craig,1
"Elena wanted to have a serious conversation with Laura who did not, so _ adopted a humorous tone.",Elena,Laura,2
"Victoria couldn't wait to learn what Laura had to teach, so _ happily gave notes on the lesson.",Victoria,Laura,2
I'd definitely rather get poked in the bellybutton than the eye since the _ is so sensitive.,eye,bellybutton,1
"Rebecca was slimmer than Carrie, so _ started to worry about calories and a diet.",Rebecca,Carrie,2
The  was more careful unloading the eggs than the tomatoes into the house because the _ were tougher.,eggs,tomatoes,2
Patricia tried to lecture Felicia on how to lose weight despite the fact that _ is overweight and needs to diet.,Patricia,Felicia,1
"Amy was worried that her hair looked greasy, so she asked Monica, but _ regretted asking.",Amy,Monica,1
The fish swam away from Neil and towards Robert because _ was pouring the food in the aquarium.,Neil,Robert,2
The car hit Joel but not Randy because _ was in the middle of the sidewalk.,Joel,Randy,2
James wanted to drink his cup of coffee but he could not until he added some water to cool it down. The _ is cold.,water,coffee,1
"Cara wanted to open a new bank account, but they ran a credit report and she was denied because the _ was bad.",bank,credit,2
"Jessica lost to Jennifer at darts at the fair, so ( _ ) won the goldfish in a bag.",Jessica,Jennifer,2
Donald was not called a fake while Leslie was because _ lied about the experience.,Donald,Leslie,2
Erin was very comfortable outside during winter unlike Cynthia because _ had a very thick coat.,Erin,Cynthia,1
Erin was very comfortable outside during winter unlike Cynthia because _ had a very thin coat.,Erin,Cynthia,2
James slid down from the top of the roof to the fence because the _ is shorter.,roof,fence,2
James slid down from the top of the roof to the fence because the _ is taller.,roof,fence,1
The insurance for the car was more expensive than the insurance for the truck because the _ was older.,truck,car,1
Given the size of the belly when a woman is pregnant she may have a hard time driving a car as the _ will be confining.,belly,car,2
Brian came with his girlfriend while Eric came alone. She was always separated from _ .,Brian,Eric,2
The baby slept better in the crib by themselves than in the bed with their mother because there was more movement on the _ mattress.,crib,bed,2
"The mall was farther to Lawrence than Dennis, so _ always went shopping and eating out there.",Lawrence,Dennis,2
"When we dissolved our partnership, Bill took my stapler and my garbage bin; the joke's on him because the _ was empty when he took it.",stapler,bin,1
Ian sat outside on the porch longer than Aaron because _  wanted to watch the birds.,Ian,Aaron,1
Ian sate outside on the porch longer than Aaron because _ wanted to watch the television.,Ian,Aaron,2
Dean was learning how to park a car but got into a collision with a wall. The _ was farther than he expected.,car,wall,1
"Dan gathered together extra clothes and extra food in case of a disaster, but the _ got wet and went bad.",food,clothes,1
"The many found many aquamarine gemstones in the mine, but very few gold nuggets since the _ were rare.",gemstones,nuggets,2
"Derrick wanted to solidify the pact, but Lawrence was doubtful, so _ did their best to hear them out.",Derrick,Lawrence,2
"Kim wanted breasts, so the doctor said to either get surgery to put in implants or fats. She decided to get the _ because they were unnatural.",fats,implants,2
Kayla is a vegetarian and Christine did not like to eat any vegetables. _ added broccoli in the pasta.,Kayla,Christine,1
"Grace hooked the dogs up to the sled with cording instead of rope, because the _ was fraying.",rope,cording,1
She wanted to save more money so she cut back on buying a daily magazine but not coffee because the _ was inessential.,magazine,coffee,1
She wanted to save more money so she cut back on buying a daily magazine but not coffee because the _ was essential.,magazine,coffee,2
"We wanted to travel by cab rather than wait for the bus , but _ proved to be more unreliable for our journey.",cab,bus,1
John had to print more shirts to circulate within the team members. The _ are few.,shirts,members,1
Clarence didn't get any candy but instead bought popcorn at the theater instead. There wasn't a free refill with the _ .,candy,popcorn,1
"Tanya earned extra money for college by tutoring Carrie, because _ was a good student.",Tanya,Carrie,1
During the experiment Jennifer poured the liquid into the container while Amy directed the experiment because _ was an assistant.,Jennifer,Amy,1
Eric hacked into the movie star Ian's cell phone because _ was well known from major films.,Eric,Ian,2
"Joel broke a hole through Derrick's lattice fence when trying to climb it, so _ offered to repair it.",Joel,Derrick,1
The pollen in the air caused Dennis to have a lot of sneezes but not Hunter. _ had to take some Claritin.,Dennis,Hunter,1
"The acid in the vat was not able to damage the table below it, as the _ did not leak any of it.",vat,table,1
"The running time of the meeting was much greater than the earlier presentation, because the _ was more detailed.",meeting,presentation,1
Sarah tried to fire Laura to plant a tree and flower in their backyard but _ was going on vacation.,Sarah,Laura,2
"When Derrick saw a coyote on his property, Christopher begged him not to kill it because _ is an animal activist.",Derrick,Christopher,2
"The cook added a bunch of salt from the bottle to the pan, so the _ was heavier.",bottle,pan,2
"The cook added a bunch of salt from the bottle to the pan, so the _ was lighter.",bottle,pan,1
"The heavy wind and fog made driving difficult, especially in the dark. The _ cut visibility in the car too much.",fog,wind,1
Last month Elena went on vacation but not Christine because _ had to take time off.,Elena,Christine,1
He couldn't take the clear photograph of the car on a highway using the camera because the _ was so slow.,car,camera,2
"I wanted to learn to operate a bulldozer this summer at the mine, so I asked my uncle to show me at the _ .",bulldozer,mine,2
Christine broke all of Jessica's old high school baseball records making _ feel somewhat annoyed.,Christine,Jessica,2
"William went to school after hours to ask Eric for help him familiarize himself with the required texts, _ knew the test was imminent.",William,Eric,1
"Because Tanya stretched before their run and Sarah didn't, _ got a cramp and had to stop.",Tanya,Sarah,2
